place,date,value
transit_stations,2020-03-27,29.285714285714285
workplaces,2020-03-27,37.857142857142854
grocery_pharm,2020-03-27,68
residential,2020-03-27,123.85714285714286
retail_rec,2020-03-27,23.428571428571427
transit_stations,2020-03-28,28.142857142857142
workplaces,2020-03-28,36.142857142857146
grocery_pharm,2020-03-28,67.14285714285714
residential,2020-03-28,124.28571428571429
retail_rec,2020-03-28,23
transit_stations,2020-03-29,27.428571428571427
workplaces,2020-03-29,35.42857142857143
grocery_pharm,2020-03-29,66.28571428571429
residential,2020-03-29,124.57142857142857
retail_rec,2020-03-29,22.714285714285715
transit_stations,2020-03-30,27
workplaces,2020-03-30,34.857142857142854
grocery_pharm,2020-03-30,65.71428571428571
residential,2020-03-30,124.85714285714286
retail_rec,2020-03-30,22.571428571428573
transit_stations,2020-03-31,26.857142857142858
workplaces,2020-03-31,34.42857142857143
grocery_pharm,2020-03-31,65.57142857142857
residential,2020-03-31,125
retail_rec,2020-03-31,22.571428571428573
transit_stations,2020-04-01,27.142857142857142
workplaces,2020-04-01,34.42857142857143
grocery_pharm,2020-04-01,66
residential,2020-04-01,124.85714285714286
retail_rec,2020-04-01,22.857142857142858
transit_stations,2020-04-02,27.857142857142858
workplaces,2020-04-02,34.57142857142857
grocery_pharm,2020-04-02,66.71428571428571
residential,2020-04-02,124.85714285714286
retail_rec,2020-04-02,23.285714285714285
transit_stations,2020-04-03,28
workplaces,2020-04-03,34.42857142857143
grocery_pharm,2020-04-03,66.85714285714286
residential,2020-04-03,124.85714285714286
retail_rec,2020-04-03,23.428571428571427
transit_stations,2020-04-04,28.428571428571427
workplaces,2020-04-04,34.42857142857143
grocery_pharm,2020-04-04,67
residential,2020-04-04,124.85714285714286
retail_rec,2020-04-04,23.571428571428573
transit_stations,2020-04-05,28.857142857142858
workplaces,2020-04-05,34.285714285714285
grocery_pharm,2020-04-05,67.71428571428571
residential,2020-04-05,124.71428571428571
retail_rec,2020-04-05,23.857142857142858
transit_stations,2020-04-06,29.285714285714285
workplaces,2020-04-06,34.285714285714285
grocery_pharm,2020-04-06,69.42857142857143
residential,2020-04-06,124.42857142857143
retail_rec,2020-04-06,24.428571428571427
transit_stations,2020-04-07,28.857142857142858
workplaces,2020-04-07,32.714285714285715
grocery_pharm,2020-04-07,69
residential,2020-04-07,124.85714285714286
retail_rec,2020-04-07,24.142857142857142
transit_stations,2020-04-08,29.142857142857142
workplaces,2020-04-08,32.714285714285715
grocery_pharm,2020-04-08,69.57142857142857
residential,2020-04-08,124.85714285714286
retail_rec,2020-04-08,24.142857142857142
transit_stations,2020-04-09,29
workplaces,2020-04-09,32.142857142857146
grocery_pharm,2020-04-09,66.42857142857143
residential,2020-04-09,125
retail_rec,2020-04-09,23.142857142857142
transit_stations,2020-04-10,28.142857142857142
workplaces,2020-04-10,30.285714285714285
grocery_pharm,2020-04-10,65
residential,2020-04-10,125.57142857142857
retail_rec,2020-04-10,22.428571428571427
transit_stations,2020-04-11,28.142857142857142
workplaces,2020-04-11,30.285714285714285
grocery_pharm,2020-04-11,65.42857142857143
residential,2020-04-11,125.57142857142857
retail_rec,2020-04-11,22.714285714285715
transit_stations,2020-04-12,28.285714285714285
workplaces,2020-04-12,30.428571428571427
grocery_pharm,2020-04-12,65.42857142857143
residential,2020-04-12,125.57142857142857
retail_rec,2020-04-12,22.857142857142858
transit_stations,2020-04-13,28.285714285714285
workplaces,2020-04-13,30.571428571428573
grocery_pharm,2020-04-13,64.42857142857143
residential,2020-04-13,125.71428571428571
retail_rec,2020-04-13,22.571428571428573
transit_stations,2020-04-14,28.857142857142858
workplaces,2020-04-14,32.285714285714285
grocery_pharm,2020-04-14,64.85714285714286
residential,2020-04-14,125.28571428571429
retail_rec,2020-04-14,23
transit_stations,2020-04-15,28.714285714285715
workplaces,2020-04-15,32.714285714285715
grocery_pharm,2020-04-15,64.14285714285714
residential,2020-04-15,125.28571428571429
retail_rec,2020-04-15,23
transit_stations,2020-04-16,29.428571428571427
workplaces,2020-04-16,34
grocery_pharm,2020-04-16,67.42857142857143
residential,2020-04-16,125
retail_rec,2020-04-16,24.285714285714285
transit_stations,2020-04-17,30.857142857142858
workplaces,2020-04-17,36.285714285714285
grocery_pharm,2020-04-17,69
residential,2020-04-17,124.14285714285714
retail_rec,2020-04-17,25.285714285714285
transit_stations,2020-04-18,31.142857142857142
workplaces,2020-04-18,36.714285714285715
grocery_pharm,2020-04-18,68.71428571428571
residential,2020-04-18,124
retail_rec,2020-04-18,25.142857142857142
transit_stations,2020-04-19,31.428571428571427
workplaces,2020-04-19,37.142857142857146
grocery_pharm,2020-04-19,68.57142857142857
residential,2020-04-19,124
retail_rec,2020-04-19,25.142857142857142
transit_stations,2020-04-20,31.857142857142858
workplaces,2020-04-20,37.57142857142857
grocery_pharm,2020-04-20,68.57142857142857
residential,2020-04-20,123.85714285714286
retail_rec,2020-04-20,25.285714285714285
transit_stations,2020-04-21,32.57142857142857
workplaces,2020-04-21,38
grocery_pharm,2020-04-21,69.14285714285714
residential,2020-04-21,123.57142857142857
retail_rec,2020-04-21,25.571428571428573
transit_stations,2020-04-22,33.42857142857143
workplaces,2020-04-22,38.42857142857143
grocery_pharm,2020-04-22,69.85714285714286
residential,2020-04-22,123.42857142857143
retail_rec,2020-04-22,26
transit_stations,2020-04-23,33.714285714285715
workplaces,2020-04-23,38.57142857142857
grocery_pharm,2020-04-23,70.28571428571429
residential,2020-04-23,123.42857142857143
retail_rec,2020-04-23,26.285714285714285
transit_stations,2020-04-24,34
workplaces,2020-04-24,38.857142857142854
grocery_pharm,2020-04-24,70.42857142857143
residential,2020-04-24,123.42857142857143
retail_rec,2020-04-24,26.571428571428573
transit_stations,2020-04-25,33.42857142857143
workplaces,2020-04-25,39
grocery_pharm,2020-04-25,69.71428571428571
residential,2020-04-25,123.28571428571429
retail_rec,2020-04-25,26.285714285714285
transit_stations,2020-04-26,33.142857142857146
workplaces,2020-04-26,39
grocery_pharm,2020-04-26,69.42857142857143
residential,2020-04-26,123.28571428571429
retail_rec,2020-04-26,26.142857142857142
transit_stations,2020-04-27,32.857142857142854
workplaces,2020-04-27,39
grocery_pharm,2020-04-27,69.28571428571429
residential,2020-04-27,123.28571428571429
retail_rec,2020-04-27,25.857142857142858
transit_stations,2020-04-28,32.714285714285715
workplaces,2020-04-28,39.142857142857146
grocery_pharm,2020-04-28,69.14285714285714
residential,2020-04-28,123.28571428571429
retail_rec,2020-04-28,25.714285714285715
transit_stations,2020-04-29,33
workplaces,2020-04-29,39.42857142857143
grocery_pharm,2020-04-29,69.42857142857143
residential,2020-04-29,123.14285714285714
retail_rec,2020-04-29,25.714285714285715
transit_stations,2020-04-30,33
workplaces,2020-04-30,39.714285714285715
grocery_pharm,2020-04-30,69.42857142857143
residential,2020-04-30,123.14285714285714
retail_rec,2020-04-30,25.571428571428573
transit_stations,2020-05-01,33.285714285714285
workplaces,2020-05-01,39.857142857142854
grocery_pharm,2020-05-01,69.71428571428571
residential,2020-05-01,123
retail_rec,2020-05-01,25.571428571428573
transit_stations,2020-05-02,34.285714285714285
workplaces,2020-05-02,40.142857142857146
grocery_pharm,2020-05-02,70.85714285714286
residential,2020-05-02,123
retail_rec,2020-05-02,26.142857142857142
transit_stations,2020-05-03,35.285714285714285
workplaces,2020-05-03,40.57142857142857
grocery_pharm,2020-05-03,72
residential,2020-05-03,122.71428571428571
retail_rec,2020-05-03,26.714285714285715
transit_stations,2020-05-04,36.285714285714285
workplaces,2020-05-04,41
grocery_pharm,2020-05-04,73.85714285714286
residential,2020-05-04,122.42857142857143
retail_rec,2020-05-04,27.714285714285715
transit_stations,2020-05-05,36.142857142857146
workplaces,2020-05-05,39.142857142857146
grocery_pharm,2020-05-05,73.71428571428571
residential,2020-05-05,122.85714285714286
retail_rec,2020-05-05,27.571428571428573
transit_stations,2020-05-06,36.285714285714285
workplaces,2020-05-06,39.285714285714285
grocery_pharm,2020-05-06,73.85714285714286
residential,2020-05-06,122.85714285714286
retail_rec,2020-05-06,27.571428571428573
transit_stations,2020-05-07,35.714285714285715
workplaces,2020-05-07,39.42857142857143
grocery_pharm,2020-05-07,73.85714285714286
residential,2020-05-07,122.85714285714286
retail_rec,2020-05-07,27.428571428571427
transit_stations,2020-05-08,35.714285714285715
workplaces,2020-05-08,39.714285714285715
grocery_pharm,2020-05-08,74.14285714285714
residential,2020-05-08,122.85714285714286
retail_rec,2020-05-08,27.714285714285715
transit_stations,2020-05-09,36
workplaces,2020-05-09,40
grocery_pharm,2020-05-09,74.42857142857143
residential,2020-05-09,122.71428571428571
retail_rec,2020-05-09,28
transit_stations,2020-05-10,36
workplaces,2020-05-10,40.285714285714285
grocery_pharm,2020-05-10,74.28571428571429
residential,2020-05-10,122.71428571428571
retail_rec,2020-05-10,28.142857142857142
transit_stations,2020-05-11,36.142857142857146
workplaces,2020-05-11,40.57142857142857
grocery_pharm,2020-05-11,73.42857142857143
residential,2020-05-11,122.42857142857143
retail_rec,2020-05-11,28.142857142857142
transit_stations,2020-05-12,37.285714285714285
workplaces,2020-05-12,43
grocery_pharm,2020-05-12,74.42857142857143
residential,2020-05-12,121.57142857142857
retail_rec,2020-05-12,29
transit_stations,2020-05-13,37.857142857142854
workplaces,2020-05-13,43.714285714285715
grocery_pharm,2020-05-13,75
residential,2020-05-13,121.28571428571429
retail_rec,2020-05-13,29.571428571428573
transit_stations,2020-05-14,39.714285714285715
workplaces,2020-05-14,44.57142857142857
grocery_pharm,2020-05-14,76.14285714285714
residential,2020-05-14,121
retail_rec,2020-05-14,30.428571428571427
transit_stations,2020-05-15,40.42857142857143
workplaces,2020-05-15,45
grocery_pharm,2020-05-15,76.85714285714286
residential,2020-05-15,120.71428571428571
retail_rec,2020-05-15,31
transit_stations,2020-05-16,41.142857142857146
workplaces,2020-05-16,45.42857142857143
grocery_pharm,2020-05-16,77.57142857142857
residential,2020-05-16,120.42857142857143
retail_rec,2020-05-16,31.571428571428573
transit_stations,2020-05-17,42
workplaces,2020-05-17,45.714285714285715
grocery_pharm,2020-05-17,78.57142857142857
residential,2020-05-17,120
retail_rec,2020-05-17,32.142857142857146
transit_stations,2020-05-18,42.42857142857143
workplaces,2020-05-18,46
grocery_pharm,2020-05-18,79.28571428571429
residential,2020-05-18,120
retail_rec,2020-05-18,32.57142857142857
transit_stations,2020-05-19,42.57142857142857
workplaces,2020-05-19,46.285714285714285
grocery_pharm,2020-05-19,79.71428571428571
residential,2020-05-19,120
retail_rec,2020-05-19,33
transit_stations,2020-05-20,42.42857142857143
workplaces,2020-05-20,46.57142857142857
grocery_pharm,2020-05-20,80
residential,2020-05-20,120
retail_rec,2020-05-20,33.285714285714285
transit_stations,2020-05-21,42.857142857142854
workplaces,2020-05-21,47
grocery_pharm,2020-05-21,80.57142857142857
residential,2020-05-21,119.85714285714286
retail_rec,2020-05-21,33.714285714285715
transit_stations,2020-05-22,42.714285714285715
workplaces,2020-05-22,44.42857142857143
grocery_pharm,2020-05-22,80.14285714285714
residential,2020-05-22,120.14285714285714
retail_rec,2020-05-22,33.57142857142857
transit_stations,2020-05-23,43
workplaces,2020-05-23,44.42857142857143
grocery_pharm,2020-05-23,80.71428571428571
residential,2020-05-23,120
retail_rec,2020-05-23,34.142857142857146
transit_stations,2020-05-24,43.142857142857146
workplaces,2020-05-24,44.57142857142857
grocery_pharm,2020-05-24,80.85714285714286
residential,2020-05-24,120
retail_rec,2020-05-24,34.57142857142857
transit_stations,2020-05-25,43.57142857142857
workplaces,2020-05-25,44.714285714285715
grocery_pharm,2020-05-25,81.42857142857143
residential,2020-05-25,119.85714285714286
retail_rec,2020-05-25,35.142857142857146
transit_stations,2020-05-26,44.42857142857143
workplaces,2020-05-26,45
grocery_pharm,2020-05-26,82.28571428571429
residential,2020-05-26,119.57142857142857
retail_rec,2020-05-26,35.714285714285715
transit_stations,2020-05-27,45.857142857142854
workplaces,2020-05-27,46.42857142857143
grocery_pharm,2020-05-27,83.28571428571429
residential,2020-05-27,119.14285714285714
retail_rec,2020-05-27,36.142857142857146
