place,date,value,StringencyIndex_Average_ForDisplay
Grocery & pharmacy,2020-04-10,65,44.44
Residential,2020-04-10,125.57142857142857,44.44
Transit stations,2020-04-11,28.142857142857142,44.44
Workplaces,2020-04-11,30.285714285714285,44.44
Retail & recreation,2020-04-11,22.714285714285715,44.44
Grocery & pharmacy,2020-04-11,65.42857142857143,44.44
Residential,2020-04-11,125.57142857142857,44.44
Transit stations,2020-04-12,28.285714285714285,44.44
Workplaces,2020-04-12,30.428571428571427,44.44
Retail & recreation,2020-04-12,22.857142857142858,44.44
Grocery & pharmacy,2020-04-12,65.42857142857143,44.44
Residential,2020-04-12,125.57142857142857,44.44
Transit stations,2020-04-13,28.285714285714285,44.44
Workplaces,2020-04-13,30.571428571428573,44.44
Retail & recreation,2020-04-13,22.571428571428573,44.44
Grocery & pharmacy,2020-04-13,64.42857142857143,44.44
Residential,2020-04-13,125.71428571428571,44.44
Transit stations,2020-04-14,28.857142857142858,44.44
Workplaces,2020-04-14,32.285714285714285,44.44
Retail & recreation,2020-04-14,23,44.44
Grocery & pharmacy,2020-04-14,64.85714285714286,44.44
Residential,2020-04-14,125.28571428571429,44.44
Transit stations,2020-04-15,28.714285714285715,44.44
Workplaces,2020-04-15,32.714285714285715,44.44
Retail & recreation,2020-04-15,23,44.44
Grocery & pharmacy,2020-04-15,64.14285714285714,44.44
Residential,2020-04-15,125.28571428571429,44.44
Transit stations,2020-04-16,29.428571428571427,44.44
Workplaces,2020-04-16,34,44.44
Retail & recreation,2020-04-16,24.285714285714285,44.44
Grocery & pharmacy,2020-04-16,67.42857142857143,44.44
Residential,2020-04-16,125,44.44
Transit stations,2020-04-17,30.857142857142858,44.44
Workplaces,2020-04-17,36.285714285714285,44.44
Retail & recreation,2020-04-17,25.285714285714285,44.44
Grocery & pharmacy,2020-04-17,69,44.44
Residential,2020-04-17,124.14285714285714,44.44
Transit stations,2020-04-18,31.142857142857142,44.44
Workplaces,2020-04-18,36.714285714285715,44.44
Retail & recreation,2020-04-18,25.142857142857142,44.44
Grocery & pharmacy,2020-04-18,68.71428571428571,44.44
Residential,2020-04-18,124,44.44
Transit stations,2020-04-19,31.428571428571427,44.44
Workplaces,2020-04-19,37.142857142857146,44.44
Retail & recreation,2020-04-19,25.142857142857142,44.44
Grocery & pharmacy,2020-04-19,68.57142857142857,44.44
Residential,2020-04-19,124,44.44
Transit stations,2020-04-20,31.857142857142858,44.44
Workplaces,2020-04-20,37.57142857142857,44.44
Retail & recreation,2020-04-20,25.285714285714285,44.44
Grocery & pharmacy,2020-04-20,68.57142857142857,44.44
Residential,2020-04-20,123.85714285714286,44.44
Transit stations,2020-04-21,32.57142857142857,44.44
Workplaces,2020-04-21,38,44.44
Retail & recreation,2020-04-21,25.571428571428573,44.44
Grocery & pharmacy,2020-04-21,69.14285714285714,44.44
Residential,2020-04-21,123.57142857142857,44.44
Transit stations,2020-04-22,33.42857142857143,44.44
Workplaces,2020-04-22,38.42857142857143,44.44
Retail & recreation,2020-04-22,26,44.44
Grocery & pharmacy,2020-04-22,69.85714285714286,44.44
Residential,2020-04-22,123.42857142857143,44.44
Transit stations,2020-04-23,33.714285714285715,44.44
Workplaces,2020-04-23,38.57142857142857,44.44
Retail & recreation,2020-04-23,26.285714285714285,44.44
Grocery & pharmacy,2020-04-23,70.28571428571429,44.44
Residential,2020-04-23,123.42857142857143,44.44
Transit stations,2020-04-24,34,44.44
Workplaces,2020-04-24,38.857142857142854,44.44
Retail & recreation,2020-04-24,26.571428571428573,44.44
Grocery & pharmacy,2020-04-24,70.42857142857143,44.44
Residential,2020-04-24,123.42857142857143,44.44
Transit stations,2020-04-25,33.42857142857143,44.44
Workplaces,2020-04-25,39,44.44
Retail & recreation,2020-04-25,26.285714285714285,44.44
Grocery & pharmacy,2020-04-25,69.71428571428571,44.44
Residential,2020-04-25,123.28571428571429,44.44
Transit stations,2020-04-26,33.142857142857146,44.44
Workplaces,2020-04-26,39,44.44
Retail & recreation,2020-04-26,26.142857142857142,44.44
Grocery & pharmacy,2020-04-26,69.42857142857143,44.44
Residential,2020-04-26,123.28571428571429,44.44
Transit stations,2020-04-27,32.857142857142854,44.44
Workplaces,2020-04-27,39,44.44
Retail & recreation,2020-04-27,25.857142857142858,44.44
Grocery & pharmacy,2020-04-27,69.28571428571429,44.44
Residential,2020-04-27,123.28571428571429,44.44
Transit stations,2020-04-28,32.714285714285715,44.44
Workplaces,2020-04-28,39.142857142857146,44.44
Retail & recreation,2020-04-28,25.714285714285715,44.44
Grocery & pharmacy,2020-04-28,69.14285714285714,44.44
Residential,2020-04-28,123.28571428571429,44.44
Transit stations,2020-04-29,33,44.44
Workplaces,2020-04-29,39.42857142857143,44.44
Retail & recreation,2020-04-29,25.714285714285715,44.44
Grocery & pharmacy,2020-04-29,69.42857142857143,44.44
Residential,2020-04-29,123.14285714285714,44.44
Transit stations,2020-04-30,33,44.44
Workplaces,2020-04-30,39.714285714285715,44.44
Retail & recreation,2020-04-30,25.571428571428573,44.44
Grocery & pharmacy,2020-04-30,69.42857142857143,44.44
Residential,2020-04-30,123.14285714285714,44.44
Transit stations,2020-05-01,33.285714285714285,44.44
Workplaces,2020-05-01,39.857142857142854,44.44
Retail & recreation,2020-05-01,25.571428571428573,44.44
Grocery & pharmacy,2020-05-01,69.71428571428571,44.44
Residential,2020-05-01,123,44.44
Transit stations,2020-05-02,34.285714285714285,44.44
Workplaces,2020-05-02,40.142857142857146,44.44
Retail & recreation,2020-05-02,26.142857142857142,44.44
Grocery & pharmacy,2020-05-02,70.85714285714286,44.44
Residential,2020-05-02,123,44.44
Transit stations,2020-05-03,35.285714285714285,44.44
Workplaces,2020-05-03,40.57142857142857,44.44
Retail & recreation,2020-05-03,26.714285714285715,44.44
Grocery & pharmacy,2020-05-03,72,44.44
Residential,2020-05-03,122.71428571428571,44.44
Transit stations,2020-05-04,36.285714285714285,44.44
Workplaces,2020-05-04,41,44.44
Retail & recreation,2020-05-04,27.714285714285715,44.44
Grocery & pharmacy,2020-05-04,73.85714285714286,44.44
Residential,2020-05-04,122.42857142857143,44.44
Transit stations,2020-05-05,36.142857142857146,44.44
